"STATION","NAME","DATE","ACMH","ACSH","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDFG","WDFM","WESD","WSF1","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT14","WT16","WT18"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-18","  100","  100"," 2200","0.03","    9","0.0","0.0",,"73","62","   78",,"   45","   45",,,"16.1","15.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-19","  100","  100"," 0324","0.00","    4","0.0","0.0",,"76","67","   36",,"  360","  360",,,"16.1","13.0","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-20","   60","   60"," 2212","0.00","   64","0.0","0.0",,"85","68","  576",,"  180","  180",,,"12.8","8.9","    1",,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-21","   80","   80"," 1642","1.14","   42","0.0","0.0",,"93","71","  372",,"  225","  315",,,"40.3","29.1","    1",,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-22","   90","   90"," 0948","0.32","   42","0.0","0.0",,"82","69","  378",,"  315","  315",,,"25.3","21.9","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-23","   90","   90"," 1724","0.00","   50","0.0","0.0",,"85","70","  450",,"   90","  135",,,"20.8","17.0","    1",,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-24","   50","   50"," 1218","0.00","   57","0.0","0.0",,"83","70","  510",,"   90","   45",,,"21.9","17.0","    1",,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-25","   50","   50"," 1548","0.00","   72","0.0","0.0",,"86","70","  642",,"  135","   90",,,"16.1","13.0","    1",,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-26","   70","   70"," 1454","0.00","   70","0.0","0.0",,"85","70","  624",,"  360","  180",,,"16.1","13.0","    1",,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-27","   80","   80"," 1724","0.00","   60","0.0","0.0",,"85","71","  540",,"  180","  180",,,"19.5","17.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-28","   80","   70"," 2312","0.42","   48","0.0","0.0",,"87","70","  426",,"  270","  270",,,"32.2","25.1",,,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-29","   80","   70"," 0300","0.01","   54","0.0","0.0",,"86","69","  486",,"  270","  270",,,"15.0","11.0",,,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-30","   20","   20"," 1524","0.00","   92","0.0","0.0",,"87","67","  822",,"  270","  270",,,"17.2","11.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-01","   80","   80"," 1836","0.00","   73","0.0","0.0",,"86","69","  654",,"  180","  180",,,"19.5","16.1",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-02","   90","   90"," 1336","0.59","   41","0.0","0.0",,"86","72","  366",,"  180","  180",,,"20.8","15.0","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-03","   80","   80"," 2054","0.07","   64","0.0","0.0",,"89","73","  570",,"  180","  360",,,"18.3","13.0","    1",,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-04","   50","   40"," 1130","0.00","   86","0.0","0.0",,"92","71","  768",,"  270","  270",,,"18.3","12.1","    1",,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-05","   60","   60"," 0642","0.00","   77","0.0","0.0",,"88","74","  684",,"  315","  315",,,"19.5","15.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-06","   50","   60"," 1242","0.00","   99","0.0","0.0",,"86","68","  882",,"  360","  360",,,"20.8","13.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-07","   10","   10"," 1442","0.00","   97","0.0","0.0",,"89","67","  864",,"  225","  180",,,"17.2","12.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-08","   20","   30"," 1724","0.00","   90","0.0","0.0",,"93","70","  798",,"  315","  180",,,"12.8","8.9",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-09","   40","   40"," 1400","0.00","   92","0.0","0.0",,"95","75","  810",,"  225","  315",,,"18.3","15.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-10","   70","   70"," 2000","0.48","   63","0.0","0.0",,"94","72","  558",,"  315","  270",,,"27.5","23.9",,,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-11","   70","   70"," 1348","0.00","   66","0.0","0.0",,"86","70","  582",,"  315","  315",,,"28.9","21.9",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-12","   10","   20"," 1336","0.00","  100","0.0","0.0",,"80","61","  882",,"  360","  315",,,"32.2","21.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-13","   30","   40"," 1618","0.00","   83","0.0","0.0",,"91","63","  732",,"  180","  270",,,"25.3","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-14","   30","   20"," 2242","0.00","   88","0.0","0.0",,"95","72","  774",,"  225","  180",,,"21.9","15.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-15","  100","   90"," 0430","0.15","   49","0.0","0.0",,"84","71","  432",,"  270","  270",,,"25.3","17.0",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-16","   70","   50"," 0948","0.00","   66","0.0","0.0",,"87","68","  582",,"   45","  360",,,"17.2","14.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-17","   70","   90"," 1936","0.00","   52","0.0","0.0",,"83","71","  456",,"   90","   45",,,"13.9","11.0",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-18","   10","   20"," 1442","0.00","   86","0.0","0.0",,"87","67","  756",,"  225","  180",,,"21.9","12.1","    1",,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-19","   10","    0"," 1100","0.00","   92","0.0","0.0",,"90","67","  798",,"  180","  180",,,"23.0","15.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-20","   80","   70"," 1854","0.15","   63","0.0","0.0",,"90","75","  552",,"  225","  225",,,"26.4","16.1",,,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-07-21","   90","   80"," 1742","0.62","   44","0.0","0.0",,"87","73","  378",,"  315","  360",,,"20.8","13.0","    1",,"    1",,,,,"    1",,,"    1",
